company,job,place,exp,salary,combined
360° ECS Limited,Associate Telecaller,Delhi,0 year(s),"₹ 3,00,000 - 3,50,000",associate telecaller 360° ecs limited delhi
NoBrokerHood,Business Development Associate,Noida,1 year(s),"₹ 3,00,000 - 3,50,000",business development associate nobrokerhood noida
The Dream Library,Junior Operations Manager,Bangalore,1 year(s),"₹ 2,00,000",junior operations manager the dream library bangalore
"Wrexa Technologies LLC                        
Actively hiring",Ab Initio Developer,Work from home,1 year(s),"₹ 9,00,000","ab initio developer wrexa technologies llc                        
actively hiring work from home"
"Stratify Consultants                        
Actively hiring",Behavioural Therapist-1,"Mumbai, Thakurli, Kopar",0 year(s),"₹ 2,00,000 - 2,30,000","behavioural therapist-1 stratify consultants                        
actively hiring mumbai, thakurli, kopar"
"Zigsaw Consultancy                        
Actively hiring",School Teacher,Fatehnagar,1 year(s),"₹ 2,40,000","school teacher zigsaw consultancy                        
actively hiring fatehnagar"
"Contour Education                        
Actively hiring",Content Developer (Physics),Work from home,0 year(s),"₹ 5,00,000","content developer (physics) contour education                        
actively hiring work from home"
Decathlon,Omni Sport Leader,"Mumbai, Kurla",0 year(s),"₹ 2,00,000 - 2,20,000","omni sport leader decathlon mumbai, kurla"
Komal Singh,Corporate Sales Executive,Bangalore,1 year(s),"₹ 4,00,000 - 5,00,000",corporate sales executive komal singh bangalore
Lendinghelio,SEO Expert,"Delhi, Gurgaon, Bangalore, Noida                                                    (Hybrid)",0 year(s),"₹ 2,00,000 - 2,44,000","seo expert lendinghelio delhi, gurgaon, bangalore, noida                                                    (hybrid)"
Groto,Graphic Designer,Delhi,1 year(s),"₹ 4,00,000 - 5,00,000",graphic designer groto delhi
Ravi Sharma,Associate Chartered Accountant (CA),Jaipur,1 year(s),"₹ 8,00,000 - 12,00,000",associate chartered accountant (ca) ravi sharma jaipur
Terbesar Healthcare Private Limited,Corporate Sales Specialist,Noida,1 year(s),"₹ 2,50,000 - 3,60,000",corporate sales specialist terbesar healthcare private limited noida
"One Media Group                        
Actively hiring",Animator,Work from home,1 year(s),"₹ 3,60,000 - 5,00,000","animator one media group                        
actively hiring work from home"
"Granville Tech Company Ltd. (Kampala, Uganda)                        
Actively hiring",Field Expert In Product Piloting ( 10+ Years Of Experience ),Work from home,1 year(s),"$ 24,000","field expert in product piloting ( 10+ years of experience ) granville tech company ltd. (kampala, uganda)                        
actively hiring work from home"
"Granville Tech Company Ltd. (Kampala, Uganda)                        
Actively hiring",Manufacturing And Supply Chain Expert,Work from home,1 year(s),"$ 24,000","manufacturing and supply chain expert granville tech company ltd. (kampala, uganda)                        
actively hiring work from home"
"Granville Tech Company Ltd. (Kampala, Uganda)                        
Actively hiring",Carbon Credit And GNSS Expert,Work from home,1 year(s),"$ 24,000","carbon credit and gnss expert granville tech company ltd. (kampala, uganda)                        
actively hiring work from home"
"Granville Tech Company Ltd. (Kampala, Uganda)                        
Actively hiring",Research And Development Expert (Electronic Systems Design Engineering),Work from home,1 year(s),"$ 24,000","research and development expert (electronic systems design engineering) granville tech company ltd. (kampala, uganda)                        
actively hiring work from home"
"Granville Tech Company Ltd. (Kampala, Uganda)                        
Actively hiring",Lead Technical Expert (Electronics Engineer),Work from home,1 year(s),"$ 24,000","lead technical expert (electronics engineer) granville tech company ltd. (kampala, uganda)                        
actively hiring work from home"
"NestAway Technologies Private Limited                        
Actively hiring",Community Executive,Delhi,1 year(s),"₹ 2,40,000 - 3,00,000","community executive nestaway technologies private limited                        
actively hiring delhi"
"Buddha Education Association Incorporation                        
Actively hiring",Junior Video Editor,Valsad,1 year(s),"₹ 2,00,000 - 3,00,000","junior video editor buddha education association incorporation                        
actively hiring valsad"
"Buddha Education Association Incorporation                        
Actively hiring",Content Writer,Delhi,1 year(s),"₹ 3,00,000 - 3,50,000","content writer buddha education association incorporation                        
actively hiring delhi"
"Buddha Education Association Incorporation                        
Actively hiring",Finance Executive,Work from home,0 year(s),"₹ 5,00,000 - 8,00,000","finance executive buddha education association incorporation                        
actively hiring work from home"
"Buddha Education Association Incorporation                        
Actively hiring",Senior Photographer,Work from home,0 year(s),"₹ 6,00,000 - 7,00,000","senior photographer buddha education association incorporation                        
actively hiring work from home"
"Buddha Education Association Incorporation                        
Actively hiring",Human Resources (HR) Specialist,Pune,0 year(s),"₹ 8,00,000 - 10,00,000","human resources (hr) specialist buddha education association incorporation                        
actively hiring pune"
"Buddha Education Association Incorporation                        
Actively hiring",Data Scientist,Work from home,0 year(s),"₹ 6,00,000 - 8,50,000","data scientist buddha education association incorporation                        
actively hiring work from home"
"Buddha Education Association Incorporation                        
Actively hiring",Chartered Accountant (CA),Work from home,0 year(s),"₹ 8,00,000 - 9,00,000","chartered accountant (ca) buddha education association incorporation                        
actively hiring work from home"
"Buddha Education Association Incorporation                        
Actively hiring",Event Management Specialist,Pune,0 year(s),"₹ 5,00,000 - 7,00,000","event management specialist buddha education association incorporation                        
actively hiring pune"
"Buddha Education Association Incorporation                        
Actively hiring",Mobile App Developer,"Delhi, Pune, Mumbai",0 year(s),"₹ 6,00,000 - 10,00,000","mobile app developer buddha education association incorporation                        
actively hiring delhi, pune, mumbai"
"Buddha Education Association Incorporation                        
Actively hiring",Senior Software Developer,"Pune, Mumbai",0 year(s),"₹ 4,00,000 - 5,00,000","senior software developer buddha education association incorporation                        
actively hiring pune, mumbai"
"Buddha Education Association Incorporation                        
Actively hiring",Backend Developer,Work from home,0 year(s),"₹ 5,00,000 - 8,00,000","backend developer buddha education association incorporation                        
actively hiring work from home"
"Buddha Education Association Incorporation                        
Actively hiring",Business Development Executive,"Pune, Mumbai",0 year(s),"₹ 6,00,000 - 7,50,000","business development executive buddha education association incorporation                        
actively hiring pune, mumbai"
RR ASSOCIATES-KETTARRI,Business Development Associate,Work from home,0 year(s),"₹ 2,00,000 - 10,00,000",business development associate rr associates-kettarri work from home
"Buddha Education Association Incorporation                        
Actively hiring",Front End Developer,Work from home,0 year(s),"₹ 4,00,000 - 8,00,000","front end developer buddha education association incorporation                        
actively hiring work from home"
"Buddha Education Association Incorporation                        
Actively hiring",Full Stack Developer,Work from home,0 year(s),"₹ 5,00,000 - 10,00,000","full stack developer buddha education association incorporation                        
actively hiring work from home"
"Buddha Education Association Incorporation                        
Actively hiring",Software Developer,"Delhi, Pune, Bangalore, Mumbai",0 year(s),"₹ 10,00,000 - 18,00,000","software developer buddha education association incorporation                        
actively hiring delhi, pune, bangalore, mumbai"
"Buddha Education Association Incorporation                        
Actively hiring",iOS App Developer,Work from home,0 year(s),"₹ 5,00,000","ios app developer buddha education association incorporation                        
actively hiring work from home"
"Buddha Education Association Incorporation                        
Actively hiring",Artificial Intelligence (AI) Executive,Work from home,0 year(s),"₹ 8,00,000 - 12,00,000","artificial intelligence (ai) executive buddha education association incorporation                        
actively hiring work from home"
"Buddha Education Association Incorporation                        
Actively hiring",Marketing Executive,Work from home,0 year(s),"₹ 6,00,000 - 7,00,000","marketing executive buddha education association incorporation                        
actively hiring work from home"
"Buddha Education Association Incorporation                        
Actively hiring",Business Development Executive,Noida,0 year(s),"₹ 3,24,000 - 4,00,000","business development executive buddha education association incorporation                        
actively hiring noida"
"Buddha Education Association Incorporation                        
Actively hiring",Operations Specialist,"Pune, Mumbai",0 year(s),"₹ 5,00,000 - 8,00,000","operations specialist buddha education association incorporation                        
actively hiring pune, mumbai"
"Buddha Education Association Incorporation                        
Actively hiring",Digital Marketing Associate,Pune,0 year(s),"₹ 2,00,000 - 3,00,000","digital marketing associate buddha education association incorporation                        
actively hiring pune"
"Buddha Education Association Incorporation                        
Actively hiring",Accountant,Mumbai,1 year(s),"₹ 2,00,000 - 2,50,000","accountant buddha education association incorporation                        
actively hiring mumbai"
"Buddha Education Association Incorporation                        
Actively hiring",Event Management Associate,Karnataka,0 year(s),"₹ 2,00,000 - 2,50,000","event management associate buddha education association incorporation                        
actively hiring karnataka"
Feemonk Private Limited,Inside Sales Digital Marketing Associate,Hyderabad,0 year(s),"₹ 2,00,000 - 3,00,000",inside sales digital marketing associate feemonk private limited hyderabad
Zenith Engineering,Back Office,Ahmedabad,0 year(s),"₹ 2,00,000 - 2,10,000",back office zenith engineering ahmedabad
"MentorBoxx                        
Actively hiring",Junior Lead Generation Executive,Work from home,0 year(s),"₹ 2,00,000 - 5,00,000","junior lead generation executive mentorboxx                        
actively hiring work from home"
SocialPilot,Paid Marketing Specialist,Ahmedabad,1 year(s),"₹ 4,00,000 - 5,00,000",paid marketing specialist socialpilot ahmedabad
"MentorBoxx                        
Actively hiring",Voice Process Associate,Delhi,1 year(s),"₹ 2,00,000 - 3,00,000","voice process associate mentorboxx                        
actively hiring delhi"
"MentorBoxx                        
Actively hiring",Business Development Executive,Pune,0 year(s),"₹ 2,40,000 - 2,80,000","business development executive mentorboxx                        
actively hiring pune"
"MentorBoxx                        
Actively hiring",Corporate Financial Sales,Thane,1 year(s),"₹ 4,50,000 - 5,00,000","corporate financial sales mentorboxx                        
actively hiring thane"
Chegg India Private Limited,SEO Associate,Delhi                                                    (Hybrid),0 year(s),"₹ 2,20,000 - 2,40,000",seo associate chegg india private limited delhi                                                    (hybrid)
"MentorBoxx                        
Actively hiring",Digital Marketing Executive,Mumbai,1 year(s),"₹ 2,00,000 - 3,00,000","digital marketing executive mentorboxx                        
actively hiring mumbai"
"MentorBoxx                        
Actively hiring",Associate Teacher,Surat,1 year(s),"₹ 3,50,000 - 6,00,000","associate teacher mentorboxx                        
actively hiring surat"
"MentorBoxx                        
Actively hiring",Junior Teacher,Gujarat,0 year(s),"₹ 3,00,000 - 5,00,000","junior teacher mentorboxx                        
actively hiring gujarat"
"MentorBoxx (Gurgaon, India)                        
Actively hiring",Senior Teacher,Gujrat (Pakistan),1 year(s),"₹ 4,00,000 - 6,00,000","senior teacher mentorboxx (gurgaon, india)                        
actively hiring gujrat (pakistan)"
"MentorBoxx                        
Actively hiring",Lead Generation Executive,Delhi,1 year(s),"₹ 2,00,000 - 3,00,000","lead generation executive mentorboxx                        
actively hiring delhi"
"MentorBoxx                        
Actively hiring",Telecaller,Delhi,1 year(s),"₹ 2,00,000 - 2,50,000","telecaller mentorboxx                        
actively hiring delhi"
"MentorBoxx                        
Actively hiring",Junior Media & Public Relations (PR) Associate,Mumbai,1 year(s),"₹ 5,00,000 - 5,50,000","junior media & public relations (pr) associate mentorboxx                        
actively hiring mumbai"
"Robust Tech Solutions                        
Actively hiring",Event Management Associate,Work from home,0 year(s),"₹ 4,00,000 - 7,00,000","event management associate robust tech solutions                        
actively hiring work from home"
"Wrexa Technologies LLC                        
Actively hiring",Next.js & Web3 Developer,Work from home,1 year(s),"₹ 9,00,000","next.js & web3 developer wrexa technologies llc                        
actively hiring work from home"
Inchtape Design Studios,Site Supervisor,Hyderabad,1 year(s),"₹ 2,50,000 - 3,00,000",site supervisor inchtape design studios hyderabad
"Stratify Consultants                        
Actively hiring",Behavioural Therapist-1,Khopoli,0 year(s),"₹ 2,00,000 - 2,40,000","behavioural therapist-1 stratify consultants                        
actively hiring khopoli"
"Discovery Resort Marketing                        
Actively hiring",Content Writer,Work from home,1 year(s),"₹ 2,60,000 - 3,60,000","content writer discovery resort marketing                        
actively hiring work from home"
"Enki Studio                        
Actively hiring",Junior Search Engine Optimization (SEO) Specialist,Gurgaon,0 year(s),"₹ 3,00,000","junior search engine optimization (seo) specialist enki studio                        
actively hiring gurgaon"
"Relinns Technologies                        
Actively hiring",Junior Content Writer,"Chandigarh, Mohali, Haryana, Uttar Pradesh, Himachal Pradesh",1 year(s),"₹ 2,00,000 - 6,00,000","junior content writer relinns technologies                        
actively hiring chandigarh, mohali, haryana, uttar pradesh, himachal pradesh"
"Accedge Advisory Limited                        
Actively hiring",Senior Accountant,Work from home,1 year(s),"₹ 4,20,000 - 5,00,000","senior accountant accedge advisory limited                        
actively hiring work from home"
"Robust Tech Solutions                        
Actively hiring",Data Entry Specialist,Work from home,0 year(s),"₹ 4,00,000 - 7,00,000","data entry specialist robust tech solutions                        
actively hiring work from home"
"Robust Tech Solutions                        
Actively hiring",Data Entry Manager,Work from home,0 year(s),"₹ 4,00,000 - 7,00,000","data entry manager robust tech solutions                        
actively hiring work from home"
"Relinns Technologies                        
Actively hiring",Junior Search Engine Optimization (SEO) Specialist,"Chandigarh, Mohali, Uttar Pradesh, Uttarakhand, Himachal Pradesh",1 year(s),"₹ 6,00,000","junior search engine optimization (seo) specialist relinns technologies                        
actively hiring chandigarh, mohali, uttar pradesh, uttarakhand, himachal pradesh"
Sagar Services,Accounts And Billing Executive,Mumbai,1 year(s),"₹ 2,50,000 - 3,50,000",accounts and billing executive sagar services mumbai
"PlanetSpark                        
Actively hiring",English Teacher (WFH) (Urgent Hiring),Work from home,1 year(s),"₹ 4,50,000 - 6,00,000","english teacher (wfh) (urgent hiring) planetspark                        
actively hiring work from home"
"PlanetSpark                        
Actively hiring",English Teacher - Work From Home,Work from home,1 year(s),"₹ 4,50,000 - 6,00,000","english teacher - work from home planetspark                        
actively hiring work from home"
"Second Medic                        
Actively hiring",Full Stack Developer,Bhopal,1 year(s),"₹ 3,00,000 - 5,00,000","full stack developer second medic                        
actively hiring bhopal"
"WhizJuniors                        
Actively hiring",EdTech Growth Partner,Work from home,1 year(s),"₹ 8,40,000","edtech growth partner whizjuniors                        
actively hiring work from home"
"Integrated Resources, Inc.",Junior Recruiter,"Ahmedabad, Gurgaon, Pune, Vadodara",1 year(s),"₹ 2,00,000 - 3,00,000","junior recruiter integrated resources, inc. ahmedabad, gurgaon, pune, vadodara"
"Templatolio                        
Actively hiring",Graphic Designer,Work from home,1 year(s),"₹ 3,00,000 - 4,00,000","graphic designer templatolio                        
actively hiring work from home"
"WebShark Web Services                        
Actively hiring",Software Developer,Bangalore,1 year(s),"₹ 4,20,000 - 7,20,000","software developer webshark web services                        
actively hiring bangalore"
"Genpact India Private Limited                        
Actively hiring",Human Resource - Process Associate.,"Hyderabad, Jaipur, Noida",0 year(s),"₹ 3,60,000","human resource - process associate. genpact india private limited                        
actively hiring hyderabad, jaipur, noida"
"SharePal                        
Actively hiring",Human Resource (HR) Recruiter,Bangalore                                                    (Hybrid),0 year(s),"₹ 3,00,000 - 4,00,000","human resource (hr) recruiter sharepal                        
actively hiring bangalore                                                    (hybrid)"
"PlanetSpark                        
Actively hiring",Math Teacher (WFH),Work from home,1 year(s),"₹ 3,50,000 - 5,00,000","math teacher (wfh) planetspark                        
actively hiring work from home"
"Code Library                        
Actively hiring",Teacher,Work from home,1 year(s),"₹ 3,00,000 - 4,00,000","teacher code library                        
actively hiring work from home"
"Zansys Technologies                        
Actively hiring",Business Development Executive,Work from home,1 year(s),"₹ 2,00,000 - 2,40,000","business development executive zansys technologies                        
actively hiring work from home"
"PlanetSpark                        
Actively hiring",Online Math Tutor,Work from home,1 year(s),"₹ 3,50,000 - 5,00,000","online math tutor planetspark                        
actively hiring work from home"
"Robust Tech Solutions                        
Actively hiring",Office Assistant (Computer Operations),Work from home,0 year(s),"₹ 4,00,000 - 7,00,000","office assistant (computer operations) robust tech solutions                        
actively hiring work from home"
Medpro Pharma,Junior Pharmaceutical Associate,Bangalore,0 year(s),"₹ 2,00,000 - 2,01,000",junior pharmaceutical associate medpro pharma bangalore
Modispaces,Business Development Executive,Mumbai,1 year(s),"₹ 3,00,000 - 3,50,000",business development executive modispaces mumbai
MsKp Technologies Private Limited,Corporate Sales Executive,Lucknow,1 year(s),"₹ 2,00,000 - 2,20,000",corporate sales executive mskp technologies private limited lucknow
S K Seth Jewellers,Associate Graphic Designer,Mumbai,0 year(s),"₹ 2,00,000 - 4,20,000",associate graphic designer s k seth jewellers mumbai
BRING MY FLOWERS PRIVATE LIMITED,Corporate Sales Executive,Gurgaon                                                    (Hybrid),1 year(s),"₹ 3,50,000 - 5,00,000",corporate sales executive bring my flowers private limited gurgaon                                                    (hybrid)
Headphone Zone,Assistant To The CEO,Mumbai,1 year(s),"₹ 2,00,000 - 3,00,000",assistant to the ceo headphone zone mumbai
Wrapped Up Love,Corporate And Bulk Gifting Executive,Mumbai,0 year(s),"₹ 2,40,000",corporate and bulk gifting executive wrapped up love mumbai
Straight Growth,Digital Marketing Executive,Pune                                                    (Hybrid),0 year(s),"₹ 2,00,000 - 2,40,000",digital marketing executive straight growth pune                                                    (hybrid)
MacyMind,Android App Developer,Surat,1 year(s),"₹ 2,00,000 - 3,00,000",android app developer macymind surat
Protell Hire Staffing Solutions,Lead Software Engineer,Pune,1 year(s),"₹ 23,00,000 - 24,00,000",lead software engineer protell hire staffing solutions pune
Varaprasad P,Business Analyst,Hyderabad,1 year(s),"₹ 2,40,000 - 3,00,000",business analyst varaprasad p hyderabad
NoirDove,Email And Content Marketer,Work from home,1 year(s),"₹ 2,00,000 - 2,40,000",email and content marketer noirdove work from home
Global Resources Inc (HK) Ltd,Sales Executive,Gurgaon,1 year(s),"₹ 3,00,000 - 4,00,000",sales executive global resources inc (hk) ltd gurgaon
Brand Monks,Franchise Sales Professionals,Coimbatore,1 year(s),"₹ 2,16,000 - 4,20,000",franchise sales professionals brand monks coimbatore
LetsPe,UI/UX Designer,Gurgaon,1 year(s),"₹ 2,40,000 - 4,80,000",ui/ux designer letspe gurgaon
Farheen Fa,Video Editor,Delhi,1 year(s),"₹ 2,00,000 - 3,70,000",video editor farheen fa delhi
ABP EVentures Private Limited,Corporate Sales Executive,Kolkata,1 year(s),"₹ 2,21,517 - 2,50,905",corporate sales executive abp eventures private limited kolkata
Sadhu  Srinivasa Rao,Business Development Manager,Work from home,0 year(s),"₹ 2,00,000 - 2,50,000",business development manager sadhu  srinivasa rao work from home
Proformics Digitech,Junior Video Editor,Gurgaon,1 year(s),"₹ 2,00,000 - 3,00,000",junior video editor proformics digitech gurgaon
Ocean Energy,Mechanical Engineer,Navi Mumbai,1 year(s),"₹ 2,50,000 - 3,60,000",mechanical engineer ocean energy navi mumbai
"Vaia Climate                        
Actively hiring",Junior Full Stack Developer,Bangalore,1 year(s),"₹ 5,00,000","junior full stack developer vaia climate                        
actively hiring bangalore"
Yellow Frames,Operations Manager,Mumbai,1 year(s),"₹ 3,00,000 - 5,00,000",operations manager yellow frames mumbai
AAA Fitness & Wellness,Cook,Jaipur,1 year(s),"₹ 2,00,000 - 2,40,000",cook aaa fitness & wellness jaipur
Quale Infotech,IT Recruiter,Gurgaon,0 year(s),"₹ 3,60,000",it recruiter quale infotech gurgaon
Indiwork Software Solutions Private Limited,Junior Lead Generation Executive,"Chandigarh, Mohali",0 year(s),"₹ 2,00,000 - 3,00,000","junior lead generation executive indiwork software solutions private limited chandigarh, mohali"
The Crestview Properties,Telecaller,Pune,1 year(s),"₹ 2,00,000 - 2,40,000",telecaller the crestview properties pune
Maverick Dreams,Business Development Executive,Mumbai,1 year(s),"₹ 3,00,000 - 3,50,000",business development executive maverick dreams mumbai
"Vicharak Computers LLP                        
Actively hiring",Embedded Firmware Developer,Surat,0 year(s),"₹ 4,00,000 - 6,00,000","embedded firmware developer vicharak computers llp                        
actively hiring surat"
Nowgray,Digital Marketing Specialist,Lucknow,1 year(s),"₹ 2,00,000 - 2,40,000",digital marketing specialist nowgray lucknow
Le Mark School Of Art,Accounting Associate,Mumbai,0 year(s),"₹ 2,00,000",accounting associate le mark school of art mumbai
Adhikosh Financial Advisory Private Limited,Junior Operations Associate,Gurgaon,1 year(s),"₹ 2,40,000 - 2,60,000",junior operations associate adhikosh financial advisory private limited gurgaon
Teamlease Services Limited,Field Sales Executive,"Kolkata, Assam",1 year(s),"₹ 2,00,000 - 4,00,000","field sales executive teamlease services limited kolkata, assam"
RuDe Labs Private Limited,Graphic Designer,Work from home,1 year(s),"₹ 2,00,000 - 2,40,000",graphic designer rude labs private limited work from home
Apidel Technologies,Junior Talent Acquisition Executive,Vadodara,0 year(s),"₹ 2,16,000 - 2,40,000",junior talent acquisition executive apidel technologies vadodara
Eba Consultants Private Limited,AR Calling,Hyderabad,0 year(s),"₹ 2,33,184",ar calling eba consultants private limited hyderabad
Sembark,Content Writer,Jaipur,0 year(s),"₹ 2,00,000 - 4,00,000",content writer sembark jaipur
Wynbee,Junior Social Media Marketing Executive,Mumbai,1 year(s),"₹ 2,50,000 - 3,60,000",junior social media marketing executive wynbee mumbai
Tura Turi,Ecommerce Executive,Mumbai,1 year(s),"₹ 2,40,000 - 3,00,000",ecommerce executive tura turi mumbai
Webspiders Interweb Private Limited,Corporate Sales Associate,Jaipur,0 year(s),"₹ 2,00,000 - 2,50,000",corporate sales associate webspiders interweb private limited jaipur
WWF-India,Sales/Business Development Executive,Delhi,0 year(s),"₹ 2,50,000 - 4,00,000",sales/business development executive wwf-india delhi
"Zigsaw Consultancy                        
Actively hiring",Assistant Professor,Nellore,1 year(s),"₹ 3,00,000 - 4,80,000","assistant professor zigsaw consultancy                        
actively hiring nellore"
Bhagyadeep Cables,Business Development Associate,"Bangalore, Jaipur",0 year(s),"₹ 2,00,000 - 4,00,000","business development associate bhagyadeep cables bangalore, jaipur"
Translense Private Limited,Node.js Developer,Work from home,0 year(s),"₹ 2,00,000",node.js developer translense private limited work from home
"Stratify Consultants                        
Actively hiring",Special Needs Teacher (Shadow Teaching & Home Sessions),"Thane, Navi Mumbai, Mumbai",0 year(s),"₹ 2,00,000 - 2,10,000","special needs teacher (shadow teaching & home sessions) stratify consultants                        
actively hiring thane, navi mumbai, mumbai"
The Firm,Architect,Chandigarh,1 year(s),"₹ 3,00,000 - 5,40,000",architect the firm chandigarh
ABC Info Soft Private Limited,Business Development Executive,Noida,0 year(s),"₹ 2,00,000 - 3,00,000",business development executive abc info soft private limited noida
LASERLINE SOLUTIONS,Corporate Sales Executive,Mumbai,1 year(s),"₹ 2,40,000 - 3,00,000",corporate sales executive laserline solutions mumbai
StepForward Solutions LLP,Content Writer,Pune,0 year(s),"₹ 2,00,000",content writer stepforward solutions llp pune
"Vamsi Kamatham                        
Actively hiring",Appointment Setter (Deal Marketing),Work from home,1 year(s),"₹ 3,00,000 - 3,50,000","appointment setter (deal marketing) vamsi kamatham                        
actively hiring work from home"
Wiser Notify,Junior Video Editor,Surat,0 year(s),"₹ 2,00,000 - 2,10,000",junior video editor wiser notify surat
"Stratify Consultants                        
Actively hiring",Behavioral Therapist,"Akola, Jamnagar, Solapur, Amravati, Thane, Dombivli, Kalyan, Bhiwandi, Raipur, Mumbai, Jabalpur",0 year(s),"₹ 2,00,000 - 2,10,000","behavioral therapist stratify consultants                        
actively hiring akola, jamnagar, solapur, amravati, thane, dombivli, kalyan, bhiwandi, raipur, mumbai, jabalpur"
2070Health,Inside Sales Executive,Bangalore,0 year(s),"₹ 4,00,000 - 6,00,000",inside sales executive 2070health bangalore
Salesrep.cc,Sales Growth Executive – Pet Care & Grooming Specialist,Gurgaon,1 year(s),"₹ 3,00,000 - 3,50,000",sales growth executive – pet care & grooming specialist salesrep.cc gurgaon
Wizon Media,Video Editor,Work from home,0 year(s),"₹ 2,00,000 - 3,50,000",video editor wizon media work from home
"Aakanksha Tangade                        
Actively hiring",Graphic Designer,Work from home,1 year(s),"₹ 2,00,000 - 2,20,000","graphic designer aakanksha tangade                        
actively hiring work from home"
Notion Techmedia,Associate Content Developer (English),Surat,0 year(s),"₹ 2,00,000",associate content developer (english) notion techmedia surat
"Bezt Labs                        
Actively hiring",Junior Talent Acquisition Associate,Work from home,1 year(s),"₹ 2,00,000 - 2,50,000","junior talent acquisition associate bezt labs                        
actively hiring work from home"
Creoverse Animation And Gaming Academy,Academic Counsellor,Bangalore,1 year(s),"₹ 2,80,000 - 3,80,000",academic counsellor creoverse animation and gaming academy bangalore
"Robust Tech Solutions                        
Actively hiring",Associate Back-End Operation Executive,Work from home,0 year(s),"₹ 4,00,000 - 7,00,000","associate back-end operation executive robust tech solutions                        
actively hiring work from home"
Bunty Tiwari,Telecaller,Bangalore,0 year(s),"₹ 2,16,000 - 3,00,000",telecaller bunty tiwari bangalore
NisVan HR Solutions Private Limited,Human Resources (HR) Executive,Mohali,1 year(s),"₹ 2,00,000 - 3,00,000",human resources (hr) executive nisvan hr solutions private limited mohali
Growinity Solutions LLP,Business Development Executive,Pune,0 year(s),"₹ 2,00,000",business development executive growinity solutions llp pune
Iconic Glass LLP,Accountant Assistant,"Guwahati, Rangia",1 year(s),"₹ 2,40,000 - 3,00,000","accountant assistant iconic glass llp guwahati, rangia"
"YES Germany                        
Actively hiring",Educational Counselor,Bangalore,0 year(s),"₹ 4,20,000 - 5,20,000","educational counselor yes germany                        
actively hiring bangalore"
DoctorC,Junior Video Editor,Hyderabad,1 year(s),"₹ 4,00,000 - 9,00,000",junior video editor doctorc hyderabad
Macro Resources Private Limited,Associate Recruiter,"Gurgaon, Kolkata",0 year(s),"₹ 2,00,000 - 3,00,000","associate recruiter macro resources private limited gurgaon, kolkata"
Realty Rhinos,Sales Manager,Gurgaon,0 year(s),"₹ 2,00,000 - 6,00,000",sales manager realty rhinos gurgaon
Destiny Clothing,Customer Service Executive,Mumbai,1 year(s),"₹ 2,00,000 - 2,20,000",customer service executive destiny clothing mumbai
Darttag Consulting LLP,Recruitment Executive,Chennai,0 year(s),"₹ 2,00,000",recruitment executive darttag consulting llp chennai
Bootstrapped Innovations Pvt Ltd,Graphic Designer,Work from home,1 year(s),"₹ 4,50,000 - 6,00,000",graphic designer bootstrapped innovations pvt ltd work from home
Safepoint Management Service Private Limited,Data Entry Executive,Kolkata,0 year(s),"₹ 2,00,000 - 2,10,000",data entry executive safepoint management service private limited kolkata
Alpha Dezine Services Pvt Ltd,Pay-per-click (PPC) Expert,Vadodara,1 year(s),"₹ 7,00,000 - 10,00,000",pay-per-click (ppc) expert alpha dezine services pvt ltd vadodara
Clinogenesis,Business Development Specialist,Bangalore,1 year(s),"₹ 3,00,000 - 6,00,000",business development specialist clinogenesis bangalore
Red Olive Vacation And Leisure,Telecaller,Work from home,0 year(s),"₹ 2,00,000 - 4,00,000",telecaller red olive vacation and leisure work from home
"Wrexa Technologies LLC                        
Actively hiring",Senior Web3 Developer - Next.js & React.js,Work from home,1 year(s),"₹ 9,00,000","senior web3 developer - next.js & react.js wrexa technologies llc                        
actively hiring work from home"
Surgeped,Business Development Executive,"Jaipur, Sodala",1 year(s),"₹ 2,20,000 - 2,40,000","business development executive surgeped jaipur, sodala"
GRNconnect.com,Sales Executive,Work from home,1 year(s),"₹ 2,76,000 - 3,00,000",sales executive grnconnect.com work from home
Satnam Webtech,Junior Search Engine Optimization (SEO) Executive,Alwar,0 year(s),"₹ 2,00,000 - 3,00,000",junior search engine optimization (seo) executive satnam webtech alwar
"Robust Tech Solutions                        
Actively hiring",Computer Executive,Work from home,0 year(s),"₹ 4,00,000 - 7,00,000","computer executive robust tech solutions                        
actively hiring work from home"
Kay Tee Group,Junior Business Development Executive,Mumbai,1 year(s),"₹ 2,40,000 - 3,50,000",junior business development executive kay tee group mumbai
Brickwork Ratings,Associate Manager - Business Development,Mumbai,1 year(s),"₹ 6,00,000 - 8,00,000",associate manager - business development brickwork ratings mumbai
"Zansys Technologies                        
Actively hiring",Business Development Executive,Work from home,1 year(s),"₹ 2,40,000 - 2,40,001","business development executive zansys technologies                        
actively hiring work from home"
Hashone Careers,Artificial Intelligence (AI) Associate,"Delhi, Gurgaon, Pune, Bangalore, Hyderabad, Mumbai, Noida",1 year(s),"₹ 2,00,000 - 8,00,000","artificial intelligence (ai) associate hashone careers delhi, gurgaon, pune, bangalore, hyderabad, mumbai, noida"
Nritya Shakti,Administration Manager,Mumbai,1 year(s),"₹ 2,00,000 - 2,10,000",administration manager nritya shakti mumbai
Trsna Foods,Full Stack Developer,Mumbai,1 year(s),"₹ 3,00,000 - 3,60,000",full stack developer trsna foods mumbai
